Iteration,Count
1,86621
2,132195
3,101276
4,57400
5,206594
6,27448
7,61499
8,105605
9,38908
10,36864
11,73852
12,61110
13,159406
14,95119
15,32971
16,30316
17,171076
18,93000
19,88641
20,33151
21,22602
22,38200
23,104428
24,80734
25,61001
26,114811
27,194932
28,147135
29,62179
30,91237
31,111512
32,25463
33,42955
34,103638
35,171496
36,93417
37,15950
38,80995
39,90014
40,92932
41,19677
42,152320
43,127894
44,42916
45,59661
46,69877
47,20493
48,49894
49,45178
50,59291
51,45663
52,57862
53,27580
54,98245
55,97923
56,85558
57,46237
58,65957
59,81425
60,138452
61,70953
62,59275
63,103923
64,98772
65,120535
66,72336
67,54622
68,50015
69,19939
70,96876
71,113293
72,26959
73,23093
74,60210
75,139780
76,33745
77,84649
78,56814
79,56939
80,98345
81,111944
82,24773
83,50432
84,56790
85,29047
86,42393
87,18552
88,130136
89,101417
90,111056
91,91585
92,81451
93,94253
94,87512
95,78473
96,83427
97,14179
98,53031
99,97896
100,167132
