Iteration,Count
1,39522
2,1043
3,92625
4,11892
5,120850
6,93320
7,6596
8,8227
9,86356
10,29479
11,97385
12,49685
13,1652
14,4978
15,47160
16,52772
17,56205
18,112760
19,165021
20,45767
21,21063
22,36168
23,77448
24,46632
25,222302
26,78329
27,218423
28,8353
29,84527
30,78009
31,450
32,35580
33,225509
34,5332
35,255852
36,81541
37,2556
38,179
39,23136
40,244580
41,10536
42,25704
43,186594
44,7690
45,61659
46,67165
47,4896
48,89096
49,11829
50,4880
51,16161
52,44533
53,153819
54,62908
55,329873
56,29072
57,25592
58,14604
59,88904
60,54473
61,121820
62,176729
63,35215
64,12300
65,80156
66,22242
67,120849
68,7563
69,9553
70,263213
71,2690
72,14685
73,9705
74,23226
75,108027
76,23579
77,76879
78,4410
79,26458
80,71097
81,4281
82,98286
83,79888
84,21346
85,67967
86,217448
87,39066
88,15484
89,81108
90,64009
91,121844
92,2837
93,50913
94,18639
95,53555
96,107286
97,3841
98,99243
99,93620
100,119854
